"County","State","Outbreak Date","Flock Type","Flock Size"
"Grady","Oklahoma","11-02-2023","WOAH Non-Poultry","120"
"Marshall","Alabama","11-02-2023","Commercial Broiler Breeder Pullets","47900"
"Waukesha","Wisconsin","11-02-2022","WOAH Non-Poultry","10"
"Yavapai","Arizona","11-02-2022","WOAH Non-Poultry","50"
"Allegheny","Pennsylvania","11-02-2022","WOAH Non-Poultry","20"
"Bergen","New Jersey","11-02-2022","WOAH Non-Poultry","60"
"Buena Vista","Iowa","11-01-2023","Commercial Turkey Meat Bird","30000"
"Wayne","New York","11-01-2022","WOAH Non-Poultry","10"
"Gregory","South Dakota","11-01-2022","Commercial Upland Gamebird Producer","3000"
"Stearns","Minnesota","11-01-2022","Commercial Turkey Meat Bird","8500"
"Deschutes","Oregon","11-01-2022","WOAH Non-Poultry","8"
"Granite","Montana","11-01-2022","WOAH Poultry","40"
"Madison","Arkansas","10-31-2023","Commercial Broiler Breeder Pullets","31600"
"Meeker","Minnesota","10-31-2023","Commercial Turkey Meat Bird","32100"
"Beadle","South Dakota","10-31-2023","Commercial Turkey Meat Bird","29700"
"Lincoln","Tennessee","10-31-2023","WOAH Non-Poultry","100"
"Wagoner","Oklahoma","10-31-2023","WOAH Non-Poultry","50"
"Wright","Iowa","10-31-2022","Commercial Table Egg Layer","1100000"
"Tipton","Tennessee","10-31-2022","WOAH Non-Poultry","90"
"Swift","Minnesota","10-31-2022","Commercial Turkey Meat Bird","45600"
"Matanuska Susitna","Alaska","10-28-2023","WOAH Non-Poultry","30"
"Matanuska Susitna","Alaska","10-28-2023","WOAH Non-Poultry","50"
"Hillsborough","Florida","10-28-2022","WOAH Non-Poultry","40"
"Chilton","Alabama","10-27-2023","Commercial Upland Gamebird Producer","306500"
"Kittitas","Washington","10-27-2023","WOAH Poultry","70"
"Le Sueur","Minnesota","10-27-2022","Commercial Turkey Meat Bird","20100"
"Stearns","Minnesota","10-27-2022","Commercial Turkey Meat Bird","75000"
"Merced","California","10-26-2023","Commercial Turkey Meat Bird","31600"
"Pasco","Florida","10-26-2022","WOAH Non-Poultry","40"
"La Plata","Colorado","10-26-2022","WOAH Non-Poultry","20"
"Brown","Minnesota","10-25-2023","WOAH Non-Poultry","20"
"Pine","Minnesota","10-25-2023","WOAH Non-Poultry","30"
"Union","Oregon","10-25-2023","WOAH Non-Poultry","30"
"Hanson","South Dakota","10-25-2023","Commercial Turkey Meat Bird","13400"
"Clark","South Dakota","10-25-2023","Commercial Turkey Meat Bird","31100"
"Beadle","South Dakota","10-25-2023","Commercial Turkey Meat Bird","51100"
"Meeker","Minnesota","10-25-2023","Commercial Turkey Meat Bird","33000"
"Swift","Minnesota","10-25-2022","Commercial Turkey Meat Bird","33800"
"Sanpete","Utah","10-25-2022","Commercial Turkey Meat Bird","3900"
"Indian River","Florida","10-25-2022","WOAH Poultry","50"
"Indian River","Florida","10-25-2022","WOAH Non-Poultry","30"
"Grant","South Dakota","10-25-2022","WOAH Non-Poultry","50"
"Lake","Florida","10-25-2022","WOAH Non-Poultry","9"
"Martin","Florida","10-25-2022","WOAH Non-Poultry","30"
"Kandiyohi","Minnesota","10-24-2023","Commercial Turkey Meat Bird","53700"
"Pocahontas","Iowa","10-24-2023","Commercial Turkey Meat Bird","50000"
"Guthrie","Iowa","10-24-2023","WOAH Non-Poultry","50"
"Blue Earth","Minnesota","10-24-2023","Commercial Turkey Meat Bird","11900"
"Buena Vista","Iowa","10-23-2023","Commercial Turkey Meat Bird","49100"
"Southampton","Virginia","10-22-2022","WOAH Non-Poultry","170"
"Ocean","New Jersey","10-22-2022","WOAH Non-Poultry","90"
"Cleveland","Oklahoma","10-21-2022","WOAH Non-Poultry","30"
"Wake","North Carolina","10-21-2022","WOAH Non-Poultry","170"
"Itasca","Minnesota","10-21-2022","WOAH Non-Poultry","40"
"Union","Oregon","10-20-2023","WOAH Poultry","100"
"Creek","Oklahoma","10-20-2022","WOAH Non-Poultry","50"
"Okeechobee","Florida","10-20-2022","WOAH Non-Poultry","2"
"Spink","South Dakota","10-20-2022","WOAH Non-Poultry","160"
"Valley","Idaho","10-20-2022","WOAH Non-Poultry","20"
"Jefferson","Colorado","10-20-2022","WOAH Poultry","50"
"Indian River","Florida","10-20-2022","WOAH Non-Poultry","60"
"Newport","Rhode Island","10-20-2022","WOAH Non-Poultry","60"
"Dallas","Iowa","10-20-2022","WOAH Non-Poultry","50"
"Hill","Montana","10-20-2022","WOAH Non-Poultry","60"
"Virginia Beach City","Virginia","10-20-2022","WOAH Non-Poultry","10"
"Park","Montana","10-19-2023","WOAH Non-Poultry","3"
"Spink","South Dakota","10-19-2023","Commercial Turkey Meat Bird","34000"
"Becker","Minnesota","10-19-2023","Commercial Breeder Operation","20200"
"Shawnee","Kansas","10-19-2022","WOAH Poultry","120"
"Sanpete","Utah","10-19-2022","Commercial Turkey Meat Bird","9400"
"Roberts","South Dakota","10-19-2022","Commercial Breeder Operation","3600"
"Rockwall","Texas","10-19-2022","WOAH Non-Poultry","50"
"Redwood","Minnesota","10-18-2023","Commercial Turkey Meat Bird","8900"
"Blue Earth","Minnesota","10-18-2023","Commercial Turkey Meat Bird","11500"
"Traill","North Dakota","10-18-2022","WOAH Non-Poultry","90"
"Jackson","Missouri","10-18-2022","WOAH Non-Poultry","40"
"York","Nebraska","10-18-2022","Commercial Upland Gamebird Producer","34900"
"Sanpete","Utah","10-18-2022","Commercial Turkey Meat Bird","100800"
"Indian River","Florida","10-18-2022","WOAH Non-Poultry","300"
"St. Lucie","Florida","10-18-2022","WOAH Non-Poultry","6"
"Osceola","Florida","10-18-2022","WOAH Non-Poultry","20"
"Mcpherson","South Dakota","10-17-2023","Commercial Turkey Meat Bird","65000"
"King","Washington","10-17-2023","WOAH Non-Poultry","10"
"Becker","Minnesota","10-17-2023","Commercial Turkey Breeder Toms","2700"
"Faulk","South Dakota","10-17-2023","Commercial Turkey Meat Bird","49700"
"Nye","Nevada","10-17-2022","WOAH Poultry","1600"
"Adams","Pennsylvania","10-17-2022","Commercial Turkey Meat Bird","15100"
"Carter","Oklahoma","10-16-2023","WOAH Non-Poultry","80"
"Tulsa","Oklahoma","10-14-2022","WOAH Non-Poultry","30"
"Larimer","Colorado","10-14-2022","WOAH Non-Poultry","20"
"Pope","Arkansas","10-14-2022","WOAH Non-Poultry","470"
"La Plata","Colorado","10-14-2022","WOAH Non-Poultry","40"
"Matanuska Susitna","Alaska","10-14-2022","WOAH Poultry","1000"
"Broward","Florida","10-14-2022","WOAH Poultry","300"
"Flathead","Montana","10-13-2023","WOAH Non-Poultry","8"
"Golden Valley","North Dakota","10-13-2023","WOAH Non-Poultry","90"
"Meeker","Minnesota","10-13-2023","Commercial Turkey Meat Bird","71000"
"Stanislaus","California","10-13-2022","Commercial Turkey Meat Bird","54900"
"Saint Croix","Wisconsin","10-13-2022","WOAH Non-Poultry","20"
